airline,frequency,alpha,oil_beta,oil_p_value,market_beta,market_p_value,r_squared,oil_significant,market_significant,interpretation
American Airlines,Monthly,-0.020554085875280542,-0.009929968459865556,0.9113771395696608,1.5664803841762942,1.2900954082461686e-09,0.32862802278262526,False,True,"After controlling for the S&P 500, Brent oil sensitivity was not statistically significant for American Airlines monthly returns. The oil beta was negative (-0.010), while the market beta was positive (1.566) and was statistically significant; market beta was larger in absolute terms than oil beta."
Lufthansa,Monthly,-0.013645132363218716,0.010202409196588305,0.8923198763306402,1.1373663428600482,9.539994491911213e-08,0.26980308274084297,False,True,"After controlling for the S&P 500, Brent oil sensitivity was not statistically significant for Lufthansa monthly returns. The oil beta was positive (0.010), while the market beta was positive (1.137) and was statistically significant; market beta was larger in absolute terms than oil beta."
Ryanair,Monthly,-0.007179556429251112,0.0407586133121961,0.5398257631205802,1.343563172027181,9.717817061358973e-12,0.40729424315676066,False,True,"After controlling for the S&P 500, Brent oil sensitivity was not statistically significant for Ryanair monthly returns. The oil beta was positive (0.041), while the market beta was positive (1.344) and was statistically significant; market beta was larger in absolute terms than oil beta."
Southwest,Monthly,-0.008862054992670051,-0.019585391456632233,0.7980983346544424,1.2116917159475737,2.709533892134735e-08,0.2820745559186696,False,True,"After controlling for the S&P 500, Brent oil sensitivity was not statistically significant for Southwest monthly returns. The oil beta was negative (-0.020), while the market beta was positive (1.212) and was statistically significant; market beta was larger in absolute terms than oil beta."
American Airlines,Weekly,-0.0041227284897442824,-0.11782700603857788,0.03999178915869517,1.794992850074344,2.779140345698732e-36,0.3051572192733859,True,True,"After controlling for the S&P 500, Brent oil sensitivity remained statistically significant for American Airlines weekly returns. The oil beta was negative (-0.118), while the market beta was positive (1.795) and was statistically significant; market beta was larger in absolute terms than oil beta."
Lufthansa,Weekly,-0.002091937846330697,-0.05042279683614608,0.25112773485401574,0.7948207876262592,1.3457419002119681e-14,0.1277289773363931,False,True,"After controlling for the S&P 500, Brent oil sensitivity was not statistically significant for Lufthansa weekly returns. The oil beta was negative (-0.050), while the market beta was positive (0.795) and was statistically significant; market beta was larger in absolute terms than oil beta."
Ryanair,Weekly,-0.00048499855817646246,-0.09918416762299877,0.010146335361581467,1.146043538985679,1.8858836763690003e-33,0.28318474143328853,True,True,"After controlling for the S&P 500, Brent oil sensitivity remained statistically significant for Ryanair weekly returns. The oil beta was negative (-0.099), while the market beta was positive (1.146) and was statistically significant; market beta was larger in absolute terms than oil beta."
Southwest,Weekly,-0.002058447693585854,-0.06763107800475827,0.08068376625079246,1.2259930399610421,6.098124596658656e-37,0.3108412898937162,False,True,"After controlling for the S&P 500, Brent oil sensitivity was not statistically significant for Southwest weekly returns. The oil beta was negative (-0.068), while the market beta was positive (1.226) and was statistically significant; market beta was larger in absolute terms than oil beta."
