Date,Ryanair,Lufthansa,Southwest,American Airlines
2018-02-28,0.027130898872443354,-2.27298309131152e-05,-0.009737073868034796,0.03957933766113342
2018-03-31,0.03999674523326269,-0.03394114972891937,0.019327895974607268,-0.015327498256803462
2018-04-30,-0.1075620622399095,-0.07095308294896896,-0.08040748494328387,-0.17650623892789907
2018-05-31,0.032406384791255904,-0.02819772325850145,-0.05473342692616279,-0.005027198173874314
2018-06-30,-0.01933643384658601,-0.11882080786901816,-0.00566267057539116,-0.13300066174032055
2018-07-31,-0.11332173760838149,0.1290269201949581,0.1070603174294471,0.0056013317441245825
2018-08-31,-0.06375473042274327,-0.09317992671493469,0.02646898169466616,-0.003818173169904071
2018-09-30,-0.06152413181334049,-0.0634316293272047,0.014465919452225862,0.016703722269536536
2018-10-31,-0.06845588577016948,-0.09127719135593093,-0.1443676352325992,-0.08181844541222982
2018-11-30,-0.02353554441387684,0.1927261947140757,0.0943607689189081,0.13011217059743818
2018-12-31,-0.041710299124223416,0.008055942129584603,-0.05458486206208868,-0.10867123464288952
2019-01-31,-0.08345031585535989,0.04111260540500816,0.14248599622925773,0.03529863002470135
2019-02-28,0.020130262977895885,-0.012049821920939063,-0.042413874540811025,-0.030927132152330006
2019-03-31,-0.012558044173386795,-0.14643205879737042,-0.08886015454427676,-0.1265405150046942
2019-04-30,-0.0032847377640981,0.06060978513829096,0.005379402582292636,0.0368828888531787
2019-05-31,-0.0941912812472675,-0.10954825760386155,-0.056479591877210966,-0.1352584114236416
2019-06-30,-0.08548947240593097,-0.18505905316575866,0.001910147402738538,0.1286461632549123
2019-07-31,-0.04446594136621096,-0.05924627028021445,0.0016412125388043375,-0.07752561895268228
2019-08-31,-0.05964852498427786,-0.009386852011580626,0.03704447744038941,-0.11653489132803574
2019-09-30,0.14128316302127208,0.02573727981328977,0.015120163797913921,0.007904331227611694
2019-10-31,0.1040032055005986,0.04575496835654569,0.018820021198830084,0.0941399069558091
2019-11-30,0.08224441732314802,0.07370459026009057,-0.00714530744774744,-0.07486003923718143
2019-12-31,0.022898436677824208,-0.07562812622301396,-0.08903846537009641,-0.030677471123293554
2020-01-31,-0.009785999968481618,-0.15559313924296314,0.02015352485172739,-0.06252811024509475
2020-02-29,-0.08827153394212062,-0.07062555744476895,-0.07576588971413267,-0.20350508543221324
2020-03-31,-0.1342277734348556,-0.14245989105486467,-0.10096758110340087,-0.2349857008674784
2020-04-30,0.06867282623409277,-0.17402922404963317,-0.2492813870658417,-0.1416101872791089
2020-05-31,0.08548870196153424,0.07533599132397861,-0.01808188573216407,-0.17101039586079958
2020-06-30,-0.09404670159904627,-0.04026544544406474,0.04640923240839956,0.2263734791836205
2020-07-31,0.07543834821100903,-0.21882315698699573,-0.15135651676657413,-0.20429794388261158
2020-08-31,0.008601858304941645,0.09735974822467752,0.14651064061576902,0.10349651340748034
2020-09-30,0.04985852644950217,-0.1177021760311655,0.03709878134027211,-0.0190095944019526
2020-10-31,0.01347776727470662,0.029296254219560613,0.08179929495592797,-0.054514867319448546
2020-11-30,0.17992325007914478,0.20091889341570934,0.06472848484759774,0.1451139788236162
2020-12-31,0.02272276161167852,0.08406873255871172,-0.03129495320409914,0.07894367395951951
2021-01-31,-0.12443351806294634,-0.004582331210090107,-0.04614695767698507,0.09991279124953423
2021-02-28,0.10486461338412667,0.12797158703254485,0.2968487206310628,0.19347759003267884
2021-03-31,0.027129792040126333,-0.12221075403203996,0.007965447325166686,0.09891757610963814
2021-04-30,-0.036338391445521534,-0.10258026037511103,-0.02425615748712895,-0.14363872469362293
2021-05-31,-0.006342259970606334,-0.011073951499132928,-0.026512167398362485,0.11053563552044943
2021-06-30,-0.09536174337375825,-0.13347076779979006,-0.15840026365047222,-0.14721403907308495
2021-07-31,-0.015077775511057823,-0.01663644897129246,-0.07115639101550653,-0.061880537597502894
2021-08-31,-0.04127952008536939,-0.14032268423496108,-0.04363821595008499,-0.05058014367584118
2021-09-30,0.0694818887208617,0.028318391684095,0.08071523164349959,0.0766564259820306
2021-10-31,-0.03779732774610167,-0.10736576145835719,-0.14983625099631404,-0.13347130547358121
2021-11-30,-0.1498900711004455,-0.05311597505874954,-0.052579834219284916,-0.0703121359444111
2021-12-31,0.02734447170859111,0.10915722543436557,-0.07874804028938798,-0.02835013549350429
2022-01-31,0.14336997703633658,0.15404149412788848,0.09740296239638524,-0.030376964542331186
2022-02-28,-0.07534085792425271,0.041203200452099464,0.009912830218739455,0.07871936985509276
2022-03-31,-0.16203941945130762,0.034636912009015974,0.0098887456863197,0.022197726121207406
2022-04-30,0.090252438378427,0.060095963854120416,0.10804405262307759,0.11644988757221542
2022-05-31,-0.0014275955358769021,-0.045768307119113616,-0.018460764170515898,-0.048002010767033476
2022-06-30,-0.14486423720574282,-0.10096131796368846,-0.1284654995469009,-0.20651090607167422
2022-07-31,-0.005614625755003599,-0.013833802614146684,-0.035745138450182345,-0.009886130832600815
2022-08-31,0.038467499846563724,0.032596898817928044,0.005189254193594395,-0.010076302436371809
2022-09-30,-0.10313846535168603,0.09053135621922637,-0.06627737600008632,0.020262506039141148
2022-10-31,0.09935600760156693,0.09333691130665267,0.09880033364492946,0.09787747902869115
2022-11-30,0.044955137042760995,0.04908449436400675,0.04418410851913279,-0.03612242828764067
2022-12-31,0.04668460875855518,0.07307619542000277,-0.09738023323764156,-0.05953164456578852
2023-01-31,0.14918864161775702,0.18885903252516334,0.0060964673742489595,0.2071149920728812
2023-02-28,0.05085573683166433,0.03754272642610934,-0.03511206628952346,0.01619924402706785
2023-03-31,-0.01866700256824938,0.009542254515570558,-0.06082825697925065,-0.11202280015351329
2023-04-30,-0.0008550982714847777,-0.06629942466268235,-0.08378789938215381,-0.08989655567449772
2023-05-31,0.09679585174891825,-0.061064001361449516,-0.016348279912231867,0.08109531839092154
2023-06-30,-0.012196111994439596,-0.04081917427721837,0.1539303650626429,0.1490750288831706
