airline,frequency,oil_shock_count,average_return_during_oil_shocks,average_excess_return_during_oil_shocks
American Airlines,Monthly,12,0.01915863204752183,-0.006909073273360797
Lufthansa,Monthly,12,0.04206847020645737,0.016000764885574715
Ryanair,Monthly,12,0.03457557302834016,0.008507867707457508
Southwest,Monthly,12,0.0458371287582722,0.019769423437389542
American Airlines,Weekly,48,0.011152574876236594,-0.0015523112227040295
Lufthansa,Weekly,48,0.0015576136786203422,-0.011147272420320266
Ryanair,Weekly,48,0.006542889830022536,-0.006161996268918089
Southwest,Weekly,48,0.007901236583885385,-0.004803649515055232
